C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
629329;1035 JOSE DEL CARMEN MARIN ARISTA;Primaria;Pública de gesti¢n directa;AVENIDA NICOLAS DE PIEROLA 1533 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05579,-77.02819;479
739318;NUESTRA SEÑORA DE MONTSERRAT;Primaria;Privada;JIRON LIMA 653 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.042483,-77.036749;753
763730;ELIM;Primaria;Privada;JIRON PALCA 128 CERCADO - LIMA CERCADO;LIMA;150101;-12.0632,-77.0404;108
334094;1040 REPUBLICA DE HAITI;Primaria;Pública de gesti¢n directa;JIRON AZANGARO 876 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.053743,-77.032506;199
334656;0040 HIPOLITO UNANUE;Secundaria;Pública de gesti¢n directa;AVENIDA ELVIRA GARCIA Y GARCIA S/N UNIDAD VECINAL DE MIRONES - LIMA CERCADO;LIMA;150101;-12.05265,-77.0704;922
334730;PNP CAP. ALIPIO PONCE VASQUEZ;Secundaria;Pública de gesti¢n directa;AVENIDA SEBASTIAN LORENTE 769 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.050325,-77.012703;384
334748;PNP TUPAC AMARU;Secundaria;Pública de gesti¢n directa;AVENIDA SEBASTIAN LORENTE 731 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04982,-77.01277;441
336495;NUESTRA SEÑORA DE GUADALUPE;Secundaria;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 1227 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.05502,-77.04175;1176
336511;105 PEDRO CORONADO ARRASCUE;Secundaria;Pública de gesti¢n directa;AVENIDA ALFONSO UGARTE 120 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04086,-77.0443;284
336537;NUESTRA SEÑORA DE MONTSERRAT;Secundaria;Pública de gesti¢n directa;JIRON CONDE DE SUPERUNDA 466 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04277,-77.03447;346
336560;1148 JUANA INFANTES VERA;Secundaria;Pública de gesti¢n directa;BLOCK 52 A UNIDAD VECINAL 3 - LIMA CERCADO;LIMA;150101;-12.05351,-77.08315;335
